Video ID,Title,Upload Date,Duration,Duration in s,View Count,Like Count,Comment Count
LDKDyn_D9pQ,Cup Trick Shots | Dude Perfect,2022-02-19,4M51S,291,17687105,496460,11563
CYdSF0tND4A,Cup Throwing Trick Shots are HARD #Shorts,2022-02-09,23S,23,22227473,892097,2155
Xixpb9qEDw0,World's Longest T-Shirt Launch | OT 33,2022-02-07,19M41S,1181,16960497,328373,26124
3QwpRXR-IUc,Snow Sniper Airsoft Battle Royale,2022-01-24,10M1S,601,23972398,541602,8972
4qjZH9T8jlE,Candle Blowing Challenge is INTENSE 🌬🕯,2022-01-13,51S,51,81317075,4880986,3277
YJljg4t-LGI,Exploding Christmas Presents | OT 32,2021-12-20,15M33S,933,13778060,285528,9146
6fBqGUaJ0tc,Whoever DESTROYS THEIR CAR MOST Wins | OT 31,2021-12-06,19M59S,1199,24363380,387386,29165
hj5Xv2L2X4M,Alaska Bucket List,2021-11-22,33M7S,1987,26729913,525952,14877
mt81k1z4VIw,Boomerang Trick Shots 2 | Dude Perfect,2021-11-08,7M46S,466,11290359,327810,5395
8XUDSIxQRU4,Build A Raft Battle,2021-10-25,13M28S,808,22219569,470699,26448
Flj-KI9fOoM,World's Smallest TV | OT 30,2021-10-11,19M42S,1182,17580876,346506,9447
t8JCJZM8tCw,Optical Illusion Trick Shots ft. Zach King,2021-09-27,8M3S,483,29426116,686132,9380
D7f04YOXQq8,Chainsaw Carving Competition | OT 29,2021-08-30,22M11S,1331,22226843,407334,83705
BTVMLRSsb3o,Submarine Minefield Battle,2021-08-23,12M44S,764,13537436,316039,5520
lHticm97HAI,Games With Consequences | Flight Simulator,2021-08-09,13M45S,825,7183232,225291,5108
RL42Yl4LS6c,Trying to Bench 405 lbs Underwater | OT 28,2021-07-26,19M46S,1186,27745007,531903,40439
y2TPOTlPU9M,Demolition Derby Battle,2021-07-12,13M10S,790,18966505,486189,10891
2EGuVKx_MXA,Cell Phone Stereotypes,2021-06-28,12M43S,763,45661746,744530,26029
Tl1ycnEFk3I,World's Hottest Hot Sauce | OT 27,2021-06-14,24M32S,1472,30389453,542738,22509
Df_hrHHcQ_g,Fastest Soapbox Car Wins,2021-05-31,11M57S,717,29744972,644631,16675
I4AgeDIrHGY,South Africa Bucket List,2021-05-17,31M39S,1899,36415234,811523,38734
_eIH4F-24M4,Pet Peeves (Official Music Video),2021-05-03,3M30S,210,18276105,497642,31820
PAgQHcKMOIk,World's Weirdest Item | OT 26,2021-04-19,26M18S,1578,30147925,559276,24688
Z8y05MbYm1Q,RC Helicopter Battle | Dude Perfect,2021-04-05,10M11S,611,15643620,414605,8797
8Mc6zZxBTLA,OUR WIVES JOIN THE SHOW | OT 25,2021-03-22,25M46S,1546,25698500,473451,36792
qUUloBe5vEo,Longest Dunk Wins,2021-03-08,9M9S,549,84191540,1126910,21336
n1dEqq2hepw,Dude Wars | OT 24,2021-02-22,25M56S,1556,33579214,563055,29847
cfZA6udrVUc,Toy Trick Shots | Dude Perfect,2021-02-08,4M57S,297,25941230,631629,18513
EsVPUpDyGec,Game Night Stereotypes,2021-01-25,9M41S,581,47956138,748984,27385
74ZSIJk2pcg,Flying RC Car,2021-01-11,9M17S,557,34705049,651710,14319
1SIX0HTH-50,Worst Dude Perfect Videos of All Time | OT 23,2020-12-28,30M23S,1823,42054821,606632,43140
LP02BulYw3g,Gingerbread House Scandal | OT 22,2020-12-21,24M56S,1496,34083150,504530,22402
9X_nbT89X-c,Pocket Flame Thrower | OT 21,2020-12-14,25M55S,1555,37038413,585295,24187
ETnepJ1zgKQ,It Finally Happened | OT 20,2020-12-07,26M13S,1573,29716042,584777,35654
JaAm-0BBbmw,Dude Perfect Corn Maze | Nerf Battle,2020-11-23,5M43S,343,16958216,421292,12266
xBe-36v3lQo,Go Kart Paintball Battle,2020-11-09,14M19S,859,22924550,508722,16425
mfTnowfhW2c,Halloween Stereotypes,2020-10-26,10M47S,647,58665189,873797,38985
4CqwkiaXEOQ,GIANT Pumpkin Carving Contest | OT 19,2020-10-19,25M49S,1549,37857131,634416,21924
dycv5jdhx88,Giant Grouper Fishing Battle,2020-10-05,10M47S,647,22689225,507210,17819
6NMvQU9xNbo,WORST PUNISHMENT YET | OT 18,2020-09-21,28M49S,1729,50612883,1001814,42479
OFBsuEGhQkI,Concrete Shoes Football Battle,2020-09-07,7M50S,470,24243817,510894,14107
AV3P55Xu_Ow,Airsoft Battle Royale 3,2020-08-31,10M53S,653,23798564,661417,25830
n4fXmZTVdZg,Real Life Robot Dog | OT 17,2020-08-24,28M1S,1681,45712979,773677,28326
MqePxS6iyvA,Swimming Pool Stereotypes,2020-08-17,8M21S,501,77472875,1096212,36065
0ADQauuOJto,Impossible Ping Pong Trick Shots,2020-08-03,6M59S,419,33994498,828408,21029
dudw5JiklKc,Card Throwing Trick Shots 2,2020-07-20,5M19S,319,27624397,785745,25481
5-3ouosW9IA,Farthest Throw from Giant Tower Wins,2020-07-06,6M47S,407,37280701,859227,20557
aCz-1tcdjN8,Unpredictable Trick Shots | Dude Perfect,2020-06-22,4M51S,291,61610989,1226593,46039
luR70V5gdS0,All Sports Golf Battle 4,2020-06-10,13M47S,827,44668723,796649,26549
BKKr55WPrrM,Worst Haircut Ever | OT 16,2020-05-25,24M25S,1465,42254576,635045,33410
lbK24iwrYbY,Dude Perfect: Backstage Pass | Official Documentary,2020-05-11,1H24M31S,5071,53535113,713137,42206
eZUKSxE2UZg,Quarantine Stereotypes,2020-04-27,8M41S,521,74196588,1143406,58482
BYQAFbq2mxE,Eating Dog Food Like Cereal 🤢 | OT 15,2020-04-20,21M17S,1277,26052097,481164,39283
YYBqfzDPOWU,Blindfolded Archery Battle,2020-04-06,7M18S,438,22460592,419204,12897
aV0BK3QCk0g,Giant Foam Pit | Dude Perfect,2020-03-23,7M58S,478,30062332,549145,19125
xG61CapseLU,Top 10 Candy List EVER | OT 14,2020-03-09,26M10S,1570,52963513,615689,53352
v_BgzDHGav0,Airsoft Battle Royale 2,2020-02-24,13M34S,814,58496207,1088409,34855
hfzSedylBog,Water Bottle Flip 3 | Dude Perfect,2020-02-10,5M12S,312,50011806,999750,24928
4MMdJHYHoiA,Lightsaber Accident | OT 13,2020-01-27,27M36S,1656,50829890,768394,46900
gqdwyXC4Jwk,Aircraft Carrier Bucket List,2020-01-13,20M38S,1238,59657882,1189000,45251
ItMpKIxXwlw,Hockey Trick Shots,2019-12-30,9M24S,564,18322754,441733,17331
GSTyIwVqO6Q,Best of Dude Perfect | 2019,2019-12-16,6M8S,368,9184927,350622,8138
XYX-IZa3rNs,All Sports Bowling Battle,2019-12-02,13M5S,785,33924264,511435,14025
Iw8qP0GdZ_0,Nerf Trick Shots,2019-11-18,4M3S,243,28767333,691635,14309
3C0btIJjrW8,GIANT Waterslide Battle,2019-11-04,7M49S,469,46806364,789549,15046
O5Sduwj9G98,We Broke The Budget | OT 12,2019-10-28,23M28S,1408,68191686,1794694,159678
4xGFo_lYUrs,Unexpected Trick Shots,2019-10-21,4M52S,292,52340471,1016938,27040
bIDKhZ_4jLQ,All Sports Trick Shots | Dude Perfect,2019-10-07,6M48S,408,29098451,600795,23195
aDrVrz76z1A,Camping Stereotypes,2019-09-23,7M59S,479,64168539,869638,34412
