Video ID,Title,Upload Date,Numeric Date,Video Type,Duration,Duration in s,View Count,Like Count,Comment Count
tIkCThaR4fc,Seafood Feast on a Malaysian Fish Farm,2023-08-04,20230804,Short,44S,44,1303306,93981,634
mDw6gUIdOQs,I Cooked a Wagyu Picanha Like a Brisket,2023-08-03,20230803,Short,30S,30,6397700,318909,1022
s_CMAhCEc5g,Candied Bacon Salmon Board,2023-07-31,20230731,Short,54S,54,6956396,372453,1559
pu9hyOkfV5c,Grow a Weenie,2023-07-23,20230723,Short,19S,19,198460383,3072867,4968
BtkpYb__JG4,Picanha Chip,2023-07-22,20230722,Short,40S,40,10936031,668120,4205
0kGtpQpRPRU,Worlds Biggest Rack of Ribs,2023-07-21,20230721,Short,32S,32,3810394,256487,1336
IiChHK-mzeo,Can I move to FL before my meat defrosts?,2023-07-20,20230720,Short,54S,54,9238982,629470,3235
f4k7ZB64YH8,I Turned Salmon into Cotton Candy,2023-07-17,20230717,Short,26S,26,3324698,186284,1103
hl4hDyMBVvA,Dry Aged Buffalo Chicken,2023-07-16,20230716,Short,44S,44,42305075,2084636,4048
i2xKkIQ8eNU,"Best ""it's raw"" comment wins",2023-07-14,20230714,Short,10S,10,10572541,489746,37624
jsrkJNd7bno,How Chicken Jerky is Made,2023-07-13,20230713,Short,45S,45,2732558,173167,837
E9kgHa6wh-k,Lobster Cheese Dog,2023-07-01,20230701,Short,40S,40,7484230,446308,2042
weO4irlRYuw,Chili Crisp Dry Aged Duck,2023-06-24,20230624,Short,44S,44,4580091,295149,1412
yYLLFEvvaH4,Forbidden Dorito Pt 2,2023-06-20,20230620,Short,15S,15,7309131,357294,1369
Hb63L9YPyZg,Steak School: Picanha,2023-06-16,20230616,Short,44S,44,6009287,322957,1027
JqNNYKSEVeE,Fresh vs Dry Aged Duck,2023-06-14,20230614,Short,45S,45,6396657,378124,950
uLhAzMppX5A,Chicharron Crunch Wrap,2023-06-08,20230608,Short,28S,28,6638911,304631,1373
swTdBdJC1L4,My Biggest Regret,2023-05-21,20230521,Short,1M,60,49943484,2650256,8264
GnjVV-Dl-LI,I Turned Pork Into Cotton Candy,2023-05-15,20230515,Short,43S,43,3217035,201770,1207
3mppFmB_HSA,"1,000 Pounds of Bacon Jerky",2023-05-10,20230510,Short,49S,49,11738971,523695,2494
aP_7yKOk6Ok,A Very Average Steak (Sierra Steak School),2023-05-05,20230505,Short,26S,26,13784194,824068,2234
tX0ZMeEkXGg,My Professional Fishing Career,2023-05-04,20230504,Short,1M,60,6210341,448461,1132
8g6-d57Y7xE,I Cooked a Furry Steak,2023-05-02,20230502,Short,37S,37,6390665,413275,4901
IvaUCK4IxAE,"$10,000 Dry Aged Tuna",2023-04-28,20230428,Short,37S,37,5142387,307396,1012
s486nYbO80Y,The Steak Review: Joshua Weissman’s Steak House,2023-04-25,20230425,Short,53S,53,4732186,279812,664
NP0kQndK4Fw,Wagyu A5 Spam,2023-04-16,20230416,Short,1M,60,19220056,880777,2908
Ij-scaFkBrI,The Budget Friendly Tomahawk,2023-04-10,20230410,Short,24S,24,23272528,978785,5018
AwgwwNQpvuw,The Half Cow Beef-Chetta,2023-04-07,20230407,Short,53S,53,4067018,284358,1828
haIUqAmKqzo,Can You Guess This Cut?,2023-04-05,20230405,Short,9S,9,1854693,80541,1540
rlRPQqKyICY,The Best BBQ in KC is From Texas,2023-04-03,20230403,Short,34S,34,7663292,422734,1954
CkqxjtEyK7I,I Feel Like a Traitor,2023-04-03,20230403,Short,34S,34,1765501,109426,469
UMUL5zvfpuw,“I Can’t Believe It’s Not a Ribeye” (Steak School),2023-04-01,20230401,Short,24S,24,1536128,108196,239
ZeDEaNJzAl8,How Kansas City Thai BBQ is Made,2023-03-28,20230328,Short,34S,34,1560408,93805,345
czQhfN6PEcY,The Craziest Meat Feast of My Life,2023-03-27,20230327,Short,47S,47,1097192,69418,337
i-xJWp2cfww,The Filet Mignapple,2023-03-25,20230325,Short,13S,13,33436174,1100756,4581
iaH_z2raAPY,The Pineapple Mignon,2023-03-25,20230325,Short,14S,14,6354816,328306,3557
5vOGbM3cBJw,My Third Favorite Steak (Steak School),2023-03-24,20230324,Short,26S,26,2841438,212670,425
FZLNlhOgp6U,I Soaked a Ribeye in Coffee for 24hrs Then Dry Aged It,2023-03-14,20230314,Short,42S,42,6799172,436232,1973
4nmr6geoGHI,Wasabi Crusted Toro Taco @valentinetb1,2023-03-09,20230309,Short,28S,28,1871142,103161,528
v1Yv8fS78bc,Cooking a Brisket Like a Steak,2023-03-06,20230306,Short,48S,48,32878423,1653743,2834
XA1auynQxQI,I Cooked Salmon on a Deserted Island,2023-03-03,20230303,Short,59S,59,9230340,615869,2819
n3ixz8Fgw1c,How Alaskan Salmon Gets on Your Plate,2023-03-02,20230302,Short,44S,44,1860049,142194,292
QHlN4nte57Q,First Class Airplane Food Review: Worth It?,2023-03-01,20230301,Short,49S,49,11787275,730150,3691
_K263qh9vyg,"$1 vs $1,000 Wine Taste Test",2023-02-24,20230224,Short,46S,46,3510975,246844,799
35hGDDyKiu0,"I Covered Briskets in Relish, Ketchup, Mayo and Mustard",2023-02-22,20230222,Short,47S,47,23743474,1366037,3746
1cPXvVxxckc,Worlds Hottest Dry Age (9 Million Scoville),2023-02-18,20230218,Short,55S,55,11039097,766487,2071
_Jev7bXNjyc,Brisket vs Tofu,2023-02-14,20230214,Short,20S,20,41523479,1943028,16714
HTpzWqMD45o,I Soaked a Ribeye in Whiskey for 24hrs Then Dry Aged It,2023-02-10,20230210,Short,42S,42,51280232,2362661,9048
8hHkdPDALiU,The Rarest Steak I’ve Ever Cooked,2023-02-09,20230209,Short,27S,27,23342038,1085896,3286
oB8clo4UMEs,I Ate a Freezer Burned Steak,2023-02-08,20230208,Short,42S,42,15082941,920445,1735
4e7LQOgLSCo,We Out-Pizza’d the Hut @ryancantcook,2023-02-07,20230207,Short,23S,23,22323673,1016455,3944
vv48rmFo3lQ,She Didn't Let Me Eat the Filet-O-Fish...,2023-02-06,20230206,Short,26S,26,3230228,172115,660
zqMMm47977g,Dry Aging Turned This Steak Grey...,2023-02-04,20230204,Short,44S,44,3525621,229199,457
GAMY4Hp6s2A,"Best ""it's raw"" comment wins pt. 4",2023-02-03,20230203,Short,10S,10,26504455,583326,40920
H84MZlCK9TE,Best Lamb I Ever Had,2023-02-02,20230202,Short,44S,44,1782694,130024,449
LcNNEZ9i-QA,$300 New Years King Crab,2023-02-01,20230201,Short,49S,49,13798811,863182,2619
N0UVzw1W_Mw,Brisket Stuffed Prime Rib,2023-01-20,20230120,Short,48S,48,6498767,400011,1038
lzapLX2bH3o,Scallop Pasta ft. @itsQCP,2023-01-11,20230111,Short,42S,42,5641622,400502,1013
0zlG1Knt6ZA,Steak Battles: Max vs Peter Luger,2023-01-07,20230107,Short,43S,43,5062946,296628,935
ZYjGfbTH4N0,The Steak Review: Peter Luger Steak House,2023-01-06,20230106,Short,42S,42,5730616,290882,1570
nhmAAy0HYpA,Dry Aged vs Dry Brined vs Wet Brined PULLED PORK,2022-12-30,20221230,Short,1M,60,12449284,761867,1464
scv7vniJ0wg,Dry Aged Pulled Pork,2022-12-29,20221229,Short,39S,39,1465750,119175,341
i3h3uNbgBhE,Dry Aged BRISKET Bacon BLT,2022-12-27,20221227,Short,50S,50,4125392,302027,981
RwTq-5tIcl0,How to Trim a Dry Aged Brisket,2022-12-26,20221226,Short,33S,33,1896334,114029,185
r6cv2JCiLnw,The Perfect Prime Rib,2022-12-22,20221222,Short,59S,59,6465611,359077,2430
b5RmtXKODPo,Brisket Bread (made with ChefsTemp),2022-12-15,20221215,Short,46S,46,8323233,609531,1508
yrFDWPJF4bs,I Soaked a Ribeye in Wine for 24hrs Then Dry Aged It,2022-12-14,20221214,Short,52S,52,24019346,1441527,3343
ZLopuHdqjBc,The Worlds Most Underrated Steak,2022-12-08,20221208,Short,40S,40,11726941,705950,2049
cDseYSjGYIc,15 Day Marinated Brisket,2022-12-07,20221207,Short,47S,47,47529425,2510716,3494
zvktSuKszqk,Short Rib Challah Bao,2022-12-07,20221207,Short,43S,43,1749174,116657,667
z5GPq_pkbR0,Elk Loin Cooked Inside of Salt,2022-11-30,20221130,Short,46S,46,26601215,1370240,6727
SplCbOj2aTI,What it was like celebrating holidays in China,2022-11-25,20221125,Short,1M,60,4077122,402258,930
aSVEV2EmHG8,“The cutest thing you ever made” - My sister,2022-11-22,20221122,Short,40S,40,1914844,142411,633
SYyIbvTD2e8,The Perfect Thanksgiving Turkey,2022-11-21,20221121,Short,1M,60,5687448,348574,1363
OoTiTqf7eZc,Not Your Average Turkey… (Peking Turkey),2022-11-19,20221119,Short,44S,44,6165785,499844,1730
-RG6rob2cNQ,How to carve a Turkey 🦃,2022-11-18,20221118,Short,31S,31,5837497,351657,662
xCbATMWcb1g,Cooking a FROZEN Steak,2022-11-16,20221116,Short,52S,52,33936430,1490477,3788
cNJteplOcNI,Wagyu Tallow Dry Aged Prime Rib,2022-11-15,20221115,Short,46S,46,6869792,445323,1866
a4V3I_3JXac,The Ultimate Surf & Turf,2022-11-12,20221112,Short,34S,34,2135632,143828,594
GGQUOD7K5nU,Dry Aged Roast Beef Sandwich Ft. @NickDiGiovanni,2022-11-11,20221111,Short,31S,31,6070453,372439,1087
JZUKssceS00,APPLEWOOD Liquid Smoke + Coffee Dry Age Pt.3,2022-11-09,20221109,Short,38S,38,2054746,172634,369
BDwni0c9zN4,Powdered Smoke Dry Age Pt. 2,2022-11-08,20221108,Short,40S,40,4696290,356039,661
eHEd5XBr8wA,Cold Smoked THEN Dry Aged Ribeye Pt. 1,2022-11-07,20221107,Short,45S,45,6578050,478338,894
AszOPmzcTmQ,Cooking Steak with a Chef in Alaska,2022-11-06,20221106,Short,54S,54,3436570,283986,723
