Video ID,Title,Upload Date,Video Type,Duration,Duration in s,View Count,Like Count,Comment Count
jVK9R5-LNUE,Botpress Studio Interface Guide: Workflows,2025-02-14,Long Form,2M8S,128,3142,11,1
k1yzjROMDu0,Botpress Studio Interface Guide: Flow Editor,2025-02-14,Long Form,1M23S,83,2474,7,0
m9_oT4pYcRw,Botpress Studio Interface Guide: Home,2025-02-14,Long Form,2M15S,135,3016,9,0
FoiFktt1L7M,Botpress Studio Interface Guide: Event Debugger,2025-02-14,Long Form,1M28S,88,828,3,0
XYPFHDuoCkg,Botpress Studio Interface Guide: Version History,2025-02-14,Long Form,56S,56,811,5,0
gu0oV2QXOLo,Botpress Studio Interface Guide: Schemas,2025-02-14,Long Form,1M16S,76,1066,8,0
lwPPKTVpfWE,Botpress Studio Interface Guide: Sharing and Publishing,2025-02-14,Long Form,1M7S,67,1078,7,0
pNWYwDK9RqU,Botpress Studio Interface Guide: Emulator,2025-02-14,Long Form,1M17S,77,906,8,3
3tflbbhGc3M,Botpress Studio Interface Guide: Hooks,2025-02-14,Long Form,1M18S,78,1472,11,3
Absc-BlP-SI,Botpress Studio Interface Guide: Introduction,2025-02-14,Long Form,1M14S,74,3750,10,0
CM_-ZKHrRKc,Botpress Studio Interface Guide: Cards,2025-02-14,Long Form,1M12S,72,1801,9,0
VSzoWubZiPI,Botpress Studio Interface Guide: Agents,2025-02-14,Long Form,1M20S,80,1488,6,0
rG7dguRDFIA,How to Build a Custom Chatbot for Your Wix Website in 20 Minutes,2025-01-31,Long Form,20M27S,1227,3156,46,4
7ZuHsVcQoVc,Build AI Agents with DeepSeek-R1 on Botpress,2025-01-31,Long Form,2M14S,134,3071,71,7
Gg0VNdz1R1c,How to Build One AI Agent and Sell it to Multiple Customers | Build Your Business,2025-01-27,Long Form,29M56S,1796,7400,148,12
AOTiEbIOu98,How to Build a RAG Chatbot in under 10 minutes,2025-01-22,Long Form,10M36S,636,10190,129,10
XKTC91EfFEI,How to Connect Your AI Chatbot to Zendesk Knowledge Base,2025-01-13,Long Form,10M27S,627,3072,18,4
OPRRrRYBVHk,Which Botpress Plan Should You Choose?,2025-01-13,Long Form,5M17S,317,2083,23,1
uHG15-Wo3wY,Botpress Dashboard Interface Guide: Files,2025-01-07,Long Form,49S,49,1319,6,0
MK21C6Qsjq8,Botpress Dashboard Interface Guide: Conversations,2025-01-07,Long Form,1M,60,1282,2,7
qcujXGMMDq4,Botpress Dashboard Interface Guide: Analytics,2025-01-07,Long Form,1M39S,99,925,3,1
z1KyBBJmsbM,Botpress Dashboard Interface Guide: Issues,2025-01-07,Long Form,1M9S,69,656,4,0
j6wiVea0J2o,Botpress Dashboard Interface Guide: Bot Dashboard,2025-01-07,Long Form,53S,53,1168,5,0
XI197VJQjA8,Botpress Dashboard Interface Guide: Webchat,2025-01-07,Long Form,40S,40,1644,5,2
xQawLnZE3PU,Botpress Dashboard Interface Guide: Events,2025-01-07,Long Form,1M25S,85,898,1,0
vKs_9qMhDZI,Botpress Dashboard Interface Guide: Usage,2025-01-07,Long Form,48S,48,1205,2,0
SPg7As32bUs,Botpress Dashboard Interface Guide: Your Integrations,2025-01-07,Long Form,1M20S,80,1643,3,0
Pkw-bvmvkhU,Botpress Dashboard Interface Guide: HITL,2025-01-07,Long Form,1M9S,69,1308,11,6
PsGuLTgzx7g,Botpress Dashboard Interface Guide: Configuration Variables,2025-01-07,Long Form,38S,38,831,4,1
blfB6xQtKv4,Botpress Dashboard Interface Guide: Logs,2025-01-07,Long Form,58S,58,895,4,0
e3_lB4muIY4,Botpress Dashboard Interface Guide: Settings,2025-01-07,Long Form,1M19S,79,465,3,0
Qf4hmMQvXxA,Botpress Dashboard Interface Guide: Course Introduction,2025-01-07,Long Form,1M10S,70,2952,7,1
Gez7nsnzm44,Botpress Dashboard Interface Guide: Home,2025-01-07,Long Form,1M48S,108,2245,8,0
Nv1y3zSarYM,How to Build a Restaurant AI Chatbot in Under 30 minutes,2025-01-03,Long Form,28M43S,1723,16726,233,36
-w4JA9we0xI,Restaurant AI Chatbot Demo,2025-01-03,Long Form,13M17S,797,8207,122,9
adSKuC7zcyk,Bots,2024-12-24,Long Form,1M21S,81,2881,6,5
o3VeoV9ELMU,Vector Database Storage,2024-12-24,Long Form,1M36S,96,1220,6,1
Sos-jWYyjZU,Always Alive,2024-12-24,Long Form,1M25S,85,1174,6,0
QEjJd4XPEZI,AI Spend,2024-12-24,Long Form,1M48S,108,1203,8,1
cyUo_WUUhLE,Collaborators,2024-12-24,Long Form,1M23S,83,625,4,0
4KzpIUTQOaA,File Storage,2024-12-24,Long Form,1M3S,63,734,3,1
azhozhd9KIM,Table Rows,2024-12-24,Long Form,1M8S,68,897,6,2
Yz2FEI44Ur4,Incoming Messages and Events,2024-12-24,Long Form,1M17S,77,1513,7,2
nCow7I1tFP8,Introduction to Botpress Pricing,2024-12-24,Long Form,2M16S,136,4079,22,2
7ej4AMdP9rc,AI Course | How to Optimize your Files for RAG: Maintenance and Validation,2024-12-06,Long Form,2M45S,165,1097,13,7
GUQT4t5OJRE,AI Course | How to Optimize your Files for RAG: Images and Tables,2024-12-06,Long Form,2M21S,141,1754,16,4
zNn68jPhr2w,AI Course | How to Optimize your Files for RAG: Enhancing Document Content,2024-12-06,Long Form,2M9S,129,1425,15,3
Zz7PlTyDkls,AI Course | How to Optimize your Files for RAG: Text Pre-Processing,2024-12-06,Long Form,2M23S,143,2459,23,1
P-Ni1GH4YDk,AI Course | How to Optimize your Files for RAG: Data Structuring,2024-12-06,Long Form,3M23S,203,4912,52,2
ntBHf0-4k50,AI Course | How to Optimize your Files for RAG,2024-12-06,Long Form,2M24S,144,2058,15,0
hLR221cLzx4,Setting up your SharePoint integration,2024-11-27,Long Form,5M43S,343,1249,6,1
MViKDo1lhmU,Create a Custom Copilot from SharePoint,2024-11-22,Long Form,2M52S,172,680,6,2
Guqx82O0w1s,Making HTTP Requests and API Calls in Botpress,2024-09-26,Long Form,3M54S,234,7484,63,15
gw12becPcSw,Policy Agent,2024-09-25,Long Form,2M28S,148,899,14,1
sY8kf7nttOM,Stripe + AI / Code / Notifications / Imagination,2024-08-30,Long Form,3M6S,186,1444,15,4
GX6yZhtqjSU,Computed Table Columns,2024-08-30,Long Form,3M29S,209,1398,16,2
Kt4Ay_q-WKI,How to Connect your AI Chatbot to WhatsApp [2025],2024-08-28,Long Form,2M54S,174,69402,277,36
GuHyPt6-ZNI,Workflow Hub,2024-08-01,Long Form,3M4S,184,2805,26,6
IohEz3FxGqQ,Domain Whitelisting,2024-07-23,Long Form,2M26S,146,933,9,2
A1ICDA3hFTw,The new way to build bots - 4. Adding Actions,2024-07-19,Long Form,5M50S,350,4938,36,2
CFE8f41b9vo,The new way to build bots - 1. Instructions,2024-07-19,Long Form,3M50S,230,4441,47,5
IN0iAA_APi4,The new way to build bots - 3. Taming AI Responses,2024-07-19,Long Form,4M18S,258,4262,35,7
SPKIKwHjz8I,The new way to build bots - 5. Configuring Channels,2024-07-19,Long Form,3M29S,209,2460,35,6
SRMPmaYdY8Y,The new way to build bots - Introduction,2024-07-19,Long Form,50S,50,4641,30,5
VSou2mzsoI8,The new way to build bots - Showcase,2024-07-19,Long Form,3M24S,204,6367,42,5
